run-name,dataset,data-processed-by,Model-size,Model-config,Model-input-type,Codebase,pearson_delta_val,pearson_res_val,pearson_delta_test,pearson_res_test
70m_log1p_delta_rpe1v2_pretrain{True}_freeze{False},RPE1,gears,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.3,0,0.34,-0.01
,RPE1,gears,gears,gears,,,,,0.48,
,RPE1,gears,Null,Null,,,0.65,0.13,0.65,0.13
70m_log1p_delta_rpe1v2flt_pretrain{True}_freeze{False},RPE1,gears - filtered,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.27,0,0.28,0.01
70m_log1p_delta_rpe1v2flt_pretrain{False}_freeze{True},RPE1,gears - filtered,70M,pretrain{False}_freeze{True},log1p,Far's-delta,0.27,0.01,0.28,-0.01
,RPE1,gears - filtered,Null,Null,,,0.67,-0.05,0.67,-0.05
70m_fullseq_pretrain{True}_freeze{False}_aidan,RPE1,Vevo,70M,pretrain{True}_freeze{False},bin,Far's,0.38,,NA,
70m_fullseq_pretrain{False}_freeze{True}_aidan,RPE1,Vevo,70M,pretrain{False}_freeze{True},bin,Far's,0.36,,0.33,
70m_log1p_fullseq_pretrain{True}_freeze{False}_aidan,RPE1,Vevo,70M,pretrain{True}_freeze{False},log1p,Far's,0.37,,0.35,
70m_log1p_delta_pretrain{True}_freeze{False},RPE1,Vevo,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.36,0.09,0.33,0.12
70m_log1p_delta_pretrain{False}_freeze{True},RPE1,Vevo,70M,pretrain{False}_freeze{True},log1p,Far's-delta,0.42,0.07,0.37,0.1
,RPE1,Vevo,linear (mean of 5 seeds),linear (mean of 5 seeds),,,,,0.3,-0.03
,RPE1,Vevo,gears,gears,,,,,0.25,
,RPE1,Vevo,Null,Null,,,0.44,0.02,0.42,0.03
70m_rpev2_log1p_delta_pretrain{True}_freeze{False},RPE1,Vevo-V2,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.38,0.13,0.32,0.05
70m_rpev2_lre-5_log1p_delta_pretrain{True}_freeze{False},RPE1,Vevo-V2,70M,pretrain{True}_freeze{False},log1p,Far's-delta,0.45,0.15,0.4,0.08
70m_rpev2_log1p_delta_pretrain{False}_freeze{True},RPE1,Vevo-V2,70M,pretrain{False}_freeze{True},log1p,Far's-delta,0.44,0.08,0.41,0.09
,RPE1,Vevo-V2,Null,Null,,,0.45,0.05,0.42,0.01
